circuit_index,noisy_counts,ideal_counts
2009,"{""00000"": 617, ""01110"": 5, ""01000"": 140, ""01100"": 11, ""11000"": 11, ""00100"": 27, ""00001"": 42, ""01010"": 13, ""00010"": 29, ""00101"": 9, ""10001"": 5, ""00110"": 7, ""10000"": 19, ""01001"": 9, ""11111"": 5, ""00011"": 5, ""01111"": 7, ""01101"": 3, ""00111"": 8, ""11110"": 2, ""10010"": 6, ""10100"": 2, ""11101"": 1, ""11010"": 1, ""10111"": 4, ""11011"": 3, ""10101"": 2, ""11001"": 1, ""11100"": 1, ""01011"": 4, ""10110"": 1}","{""01000"": 237, ""00000"": 763}"
438,"{""000"": 937, ""010"": 32, ""110"": 6, ""011"": 6, ""001"": 5, ""100"": 13, ""101"": 1}","{""000"": 1000}"
351,"{""00"": 982, ""11"": 5, ""01"": 6, ""10"": 7}","{""00"": 1000}"
319,"{""000"": 958, ""001"": 22, ""110"": 5, ""100"": 3, ""111"": 1, ""010"": 11}","{""000"": 1000}"
3670,"{""1011"": 22, ""0101"": 20, ""0011"": 20, ""1001"": 206, ""1101"": 93, ""0001"": 214, ""0010"": 12, ""1010"": 19, ""0111"": 83, ""0000"": 91, ""1100"": 39, ""1111"": 24, ""1000"": 106, ""0110"": 32, ""1110"": 5, ""0100"": 14}","{""0001"": 235, ""1001"": 297, ""0111"": 83, ""1000"": 110, ""0000"": 80, ""1101"": 101, ""1100"": 35, ""0110"": 29, ""0010"": 7, ""0101"": 7, ""1111"": 10, ""1010"": 6}"
2631,"{""00"": 980, ""11"": 10, ""10"": 6, ""01"": 4}","{""00"": 1000}"
1132,"{""00000"": 375, ""01000"": 448, ""00001"": 20, ""01101"": 3, ""11000"": 16, ""00010"": 18, ""00110"": 2, ""01001"": 18, ""01100"": 19, ""00100"": 12, ""01011"": 9, ""11110"": 2, ""00011"": 5, ""10000"": 16, ""11001"": 2, ""10010"": 2, ""11010"": 2, ""01010"": 13, ""01110"": 5, ""10001"": 3, ""00101"": 2, ""11011"": 1, ""01111"": 3, ""10111"": 1, ""00111"": 3}","{""01000"": 490, ""00000"": 510}"
893,"{""0000"": 723, ""0100"": 195, ""0001"": 16, ""0010"": 9, ""1000"": 10, ""1101"": 5, ""0110"": 10, ""0101"": 17, ""0111"": 4, ""1111"": 2, ""1001"": 2, ""0011"": 1, ""1100"": 2, ""1011"": 1, ""1110"": 3}","{""0000"": 755, ""0100"": 245}"
3718,"{""1111"": 393, ""1110"": 124, ""1011"": 240, ""1010"": 41, ""0111"": 37, ""1001"": 15, ""0011"": 35, ""1000"": 12, ""0010"": 19, ""0110"": 13, ""0001"": 14, ""1100"": 19, ""0000"": 8, ""1101"": 14, ""0100"": 2, ""0101"": 14}","{""1011"": 262, ""1111"": 370, ""1001"": 22, ""1010"": 54, ""1110"": 148, ""0101"": 10, ""1100"": 31, ""0111"": 23, ""1000"": 15, ""0010"": 16, ""0000"": 8, ""0110"": 21, ""0100"": 1, ""0001"": 6, ""0011"": 13}"
585,"{""0010"": 410, ""1101"": 4, ""0000"": 538, ""0100"": 11, ""0110"": 8, ""1011"": 2, ""0001"": 3, ""1110"": 2, ""0101"": 2, ""1100"": 3, ""1010"": 7, ""0011"": 2, ""1000"": 5, ""1001"": 3}","{""0000"": 515, ""0010"": 485}"
