circuit_index,noisy_counts,ideal_counts
2705,"{""0010"": 172, ""0110"": 248, ""1101"": 38, ""0100"": 51, ""1111"": 178, ""1010"": 34, ""0111"": 19, ""1011"": 84, ""1001"": 24, ""1110"": 72, ""1000"": 12, ""0000"": 28, ""1100"": 15, ""0101"": 11, ""0011"": 10, ""0001"": 4}","{""1111"": 231, ""0110"": 347, ""0010"": 151, ""1011"": 88, ""1110"": 90, ""1010"": 35, ""1101"": 16, ""0100"": 26, ""1000"": 3, ""1001"": 5, ""0000"": 5, ""1100"": 3}"
3812,"{""01010"": 13, ""00110"": 58, ""00100"": 56, ""11010"": 116, ""10001"": 41, ""01100"": 42, ""00101"": 67, ""00111"": 56, ""11011"": 41, ""01101"": 88, ""10000"": 63, ""10011"": 50, ""10100"": 4, ""01111"": 54, ""10010"": 54, ""00010"": 11, ""11000"": 37, ""11001"": 24, ""01001"": 12, ""01110"": 37, ""11111"": 9, ""00001"": 11, ""00011"": 10, ""00000"": 8, ""10111"": 8, ""01011"": 5, ""11100"": 5, ""11110"": 6, ""10110"": 5, ""01000"": 4, ""11101"": 4, ""10101"": 1}","{""10000"": 71, ""11000"": 47, ""01111"": 81, ""00110"": 69, ""01101"": 89, ""00100"": 69, ""01100"": 29, ""00111"": 103, ""01110"": 56, ""11010"": 135, ""10011"": 91, ""10010"": 40, ""10001"": 27, ""00101"": 22, ""11001"": 17, ""11011"": 54}"
3102,"{""10"": 332, ""11"": 159, ""01"": 349, ""00"": 160}","{""10"": 375, ""01"": 321, ""00"": 148, ""11"": 156}"
316,"{""10010"": 685, ""00010"": 122, ""10000"": 119, ""11010"": 12, ""10011"": 10, ""10110"": 5, ""00000"": 25, ""11001"": 2, ""11011"": 7, ""00011"": 2, ""11000"": 5, ""01001"": 1, ""01011"": 2, ""10001"": 2, ""01010"": 1}","{""00010"": 118, ""10010"": 737, ""10000"": 123, ""00000"": 22}"
1525,"{""10"": 232, ""11"": 614, ""01"": 125, ""00"": 29}","{""11"": 669, ""10"": 192, ""01"": 109, ""00"": 30}"
3838,"{""1011"": 279, ""0100"": 32, ""1100"": 51, ""1111"": 76, ""1000"": 98, ""0011"": 163, ""0000"": 62, ""0111"": 81, ""1001"": 29, ""0010"": 27, ""1110"": 15, ""0001"": 19, ""0110"": 24, ""1010"": 23, ""0101"": 13, ""1101"": 8}","{""0010"": 3, ""1011"": 266, ""0011"": 191, ""1000"": 152, ""0000"": 84, ""1111"": 84, ""0111"": 120, ""0100"": 53, ""1100"": 42, ""1110"": 1, ""1010"": 3, ""0110"": 1}"
621,"{""101"": 499, ""001"": 462, ""100"": 21, ""000"": 15, ""111"": 2, ""010"": 1}","{""101"": 500, ""001"": 500}"
1830,"{""01100"": 524, ""01010"": 13, ""01000"": 56, ""00010"": 196, ""11101"": 6, ""11100"": 18, ""00110"": 12, ""11110"": 18, ""10011"": 6, ""10010"": 16, ""01101"": 27, ""11010"": 6, ""00000"": 23, ""01110"": 9, ""00011"": 6, ""10110"": 4, ""01111"": 2, ""01001"": 2, ""00100"": 23, ""00111"": 1, ""00101"": 2, ""00001"": 3, ""11001"": 1, ""11000"": 11, ""10111"": 4, ""10100"": 3, ""10101"": 2, ""11111"": 4, ""10000"": 1, ""01011"": 1}","{""00010"": 306, ""01100"": 666, ""01000"": 17, ""00000"": 11}"
2785,"{""0000"": 454, ""0101"": 290, ""0001"": 124, ""1110"": 12, ""0100"": 38, ""1000"": 27, ""1100"": 8, ""1010"": 4, ""1111"": 7, ""0111"": 4, ""1001"": 7, ""1011"": 8, ""0011"": 5, ""1101"": 7, ""0010"": 3, ""0110"": 2}","{""0101"": 337, ""0000"": 501, ""0001"": 158, ""0100"": 4}"
203,"{""000"": 495, ""001"": 478, ""011"": 14, ""111"": 1, ""010"": 5, ""100"": 3, ""101"": 4}","{""000"": 474, ""001"": 526}"
3175,"{""01"": 247, ""10"": 257, ""00"": 473, ""11"": 23}","{""00"": 474, ""01"": 263, ""10"": 244, ""11"": 19}"
3664,"{""0011"": 161, ""0110"": 226, ""0010"": 189, ""0001"": 54, ""0100"": 48, ""0111"": 195, ""0000"": 53, ""1110"": 8, ""1010"": 6, ""1000"": 3, ""1111"": 7, ""0101"": 34, ""1011"": 7, ""1100"": 2, ""1001"": 3, ""1101"": 4}","{""0010"": 221, ""0111"": 205, ""0011"": 201, ""0110"": 212, ""0001"": 44, ""0000"": 36, ""0100"": 40, ""0101"": 41}"
2825,"{""00"": 626, ""10"": 362, ""01"": 7, ""11"": 5}","{""00"": 671, ""10"": 329}"
520,"{""00"": 476, ""10"": 511, ""11"": 10, ""01"": 3}","{""10"": 476, ""00"": 524}"
3809,"{""00010"": 253, ""10000"": 13, ""00110"": 165, ""01010"": 12, ""10110"": 109, ""10011"": 8, ""11110"": 14, ""11010"": 15, ""10010"": 138, ""00011"": 20, ""10101"": 86, ""00100"": 18, ""00000"": 31, ""01100"": 6, ""10001"": 12, ""00001"": 7, ""00111"": 17, ""10111"": 10, ""01000"": 7, ""10100"": 16, ""11000"": 5, ""01101"": 3, ""00101"": 9, ""11011"": 1, ""01110"": 14, ""01001"": 1, ""11111"": 5, ""11100"": 1, ""01011"": 2, ""01111"": 1, ""11001"": 1}","{""10101"": 169, ""10110"": 151, ""00010"": 300, ""00110"": 218, ""10010"": 150, ""11000"": 1, ""01000"": 6, ""11001"": 2, ""01111"": 2, ""01100"": 1}"
3319,"{""000"": 168, ""100"": 308, ""011"": 23, ""101"": 95, ""110"": 221, ""001"": 97, ""111"": 48, ""010"": 40}","{""100"": 333, ""110"": 206, ""101"": 67, ""000"": 176, ""111"": 34, ""001"": 135, ""011"": 18, ""010"": 31}"
1205,"{""11"": 296, ""00"": 464, ""10"": 235, ""01"": 5}","{""00"": 509, ""11"": 273, ""10"": 218}"
920,"{""00"": 251, ""10"": 255, ""11"": 227, ""01"": 267}","{""11"": 272, ""01"": 251, ""10"": 258, ""00"": 219}"
1714,"{""11"": 854, ""00"": 104, ""10"": 24, ""01"": 18}","{""11"": 868, ""00"": 132}"
1637,"{""001"": 188, ""000"": 265, ""111"": 158, ""110"": 278, ""100"": 34, ""011"": 33, ""101"": 22, ""010"": 22}","{""110"": 283, ""010"": 22, ""011"": 39, ""000"": 276, ""100"": 22, ""001"": 203, ""111"": 154, ""101"": 1}"
806,"{""00000"": 848, ""10111"": 2, ""01000"": 26, ""01001"": 7, ""11000"": 6, ""10000"": 17, ""00100"": 7, ""01011"": 1, ""00001"": 21, ""00010"": 24, ""01110"": 3, ""00111"": 3, ""11011"": 1, ""00011"": 4, ""01010"": 4, ""11111"": 2, ""10001"": 8, ""00110"": 1, ""10010"": 3, ""10011"": 3, ""01100"": 6, ""01111"": 2, ""01101"": 1}","{""00000"": 1000}"
2784,"{""00"": 985, ""11"": 8, ""10"": 4, ""01"": 3}","{""00"": 1000}"
3880,"{""01000"": 37, ""01010"": 98, ""01001"": 18, ""11000"": 213, ""00000"": 27, ""10010"": 49, ""10100"": 34, ""00010"": 74, ""01110"": 11, ""01100"": 10, ""00001"": 13, ""11010"": 72, ""10000"": 180, ""11100"": 52, ""11011"": 10, ""00110"": 22, ""11110"": 15, ""00101"": 3, ""10001"": 4, ""10110"": 12, ""10011"": 4, ""00011"": 6, ""00100"": 10, ""01011"": 5, ""11001"": 6, ""00111"": 4, ""11111"": 3, ""10111"": 2, ""01111"": 2, ""10101"": 2, ""01101"": 2}","{""11000"": 203, ""01010"": 191, ""10000"": 227, ""11010"": 80, ""00010"": 126, ""10100"": 20, ""01110"": 19, ""10010"": 50, ""11110"": 5, ""01001"": 5, ""01100"": 2, ""11011"": 9, ""00110"": 19, ""11100"": 15, ""10110"": 9, ""00011"": 6, ""00001"": 3, ""10011"": 4, ""01011"": 3, ""00100"": 4}"
2608,"{""11"": 242, ""01"": 247, ""00"": 238, ""10"": 273}","{""01"": 269, ""00"": 245, ""10"": 252, ""11"": 234}"
