circuit_index,noisy_counts,ideal_counts
2037,"{""100"": 248, ""000"": 249, ""110"": 414, ""001"": 31, ""010"": 19, ""111"": 15, ""101"": 13, ""011"": 11}","{""110"": 524, ""000"": 222, ""100"": 251, ""010"": 3}"
2038,"{""111"": 195, ""011"": 173, ""101"": 158, ""110"": 349, ""010"": 52, ""100"": 61, ""001"": 6, ""000"": 6}","{""110"": 336, ""011"": 162, ""101"": 186, ""100"": 63, ""111"": 175, ""010"": 78}"
2039,"{""01000"": 18, ""00000"": 757, ""10000"": 37, ""00001"": 74, ""01111"": 1, ""00100"": 14, ""00010"": 13, ""00011"": 17, ""01011"": 13, ""10101"": 2, ""10001"": 8, ""10100"": 5, ""00101"": 6, ""01001"": 12, ""11000"": 5, ""01010"": 5, ""11011"": 4, ""11010"": 3, ""11001"": 4, ""10010"": 1, ""01100"": 1}","{""00000"": 1000}"
2040,"{""000"": 465, ""100"": 407, ""110"": 17, ""001"": 50, ""101"": 30, ""111"": 9, ""010"": 17, ""011"": 5}","{""100"": 492, ""000"": 508}"
2041,"{""0011"": 6, ""1100"": 51, ""1000"": 39, ""0000"": 388, ""0100"": 387, ""0001"": 12, ""0110"": 27, ""0111"": 6, ""1011"": 8, ""1010"": 9, ""0010"": 20, ""1101"": 11, ""1110"": 7, ""0101"": 16, ""1001"": 11, ""1111"": 2}","{""0000"": 489, ""0100"": 511}"
2042,"{""0010"": 363, ""0000"": 416, ""1000"": 13, ""0001"": 19, ""1010"": 28, ""0101"": 5, ""1110"": 11, ""1101"": 15, ""1011"": 16, ""0011"": 36, ""0100"": 16, ""1001"": 9, ""1100"": 9, ""0110"": 21, ""0111"": 8, ""1111"": 15}","{""0010"": 516, ""0000"": 484}"
2043,"{""01000"": 386, ""00000"": 352, ""01100"": 17, ""01110"": 16, ""00100"": 29, ""01010"": 22, ""00001"": 23, ""00010"": 32, ""00011"": 6, ""11110"": 4, ""11010"": 6, ""01001"": 17, ""10010"": 7, ""11100"": 4, ""10000"": 19, ""00101"": 5, ""00110"": 10, ""10110"": 7, ""01011"": 5, ""11000"": 18, ""10001"": 3, ""10111"": 2, ""11101"": 2, ""01101"": 2, ""00111"": 2, ""10101"": 1, ""10100"": 2, ""11001"": 1}","{""00000"": 495, ""01000"": 505}"
2044,"{""11101"": 5, ""01110"": 260, ""01010"": 65, ""00100"": 17, ""11110"": 264, ""10010"": 14, ""11011"": 7, ""01100"": 47, ""11100"": 36, ""01111"": 40, ""11010"": 81, ""11111"": 45, ""10011"": 7, ""11000"": 5, ""10110"": 10, ""00111"": 6, ""01101"": 8, ""10100"": 10, ""00101"": 7, ""00000"": 1, ""00110"": 11, ""01000"": 4, ""10001"": 1, ""00010"": 11, ""01011"": 13, ""10101"": 6, ""10111"": 5, ""01001"": 1, ""00011"": 8, ""10000"": 4, ""11001"": 1}","{""11110"": 294, ""01111"": 20, ""01110"": 337, ""01010"": 100, ""11010"": 105, ""01100"": 48, ""11111"": 32, ""11100"": 38, ""01101"": 3, ""11011"": 16, ""01011"": 7}"
2045,"{""0000"": 22, ""1000"": 434, ""1010"": 20, ""1001"": 413, ""1011"": 19, ""1100"": 22, ""1110"": 7, ""1101"": 29, ""0001"": 20, ""0101"": 4, ""0100"": 5, ""0111"": 2, ""1111"": 2, ""0110"": 1}","{""1001"": 501, ""1000"": 499}"
2046,"{""1000"": 21, ""0000"": 822, ""0010"": 25, ""0001"": 19, ""0100"": 44, ""0011"": 28, ""1100"": 14, ""1111"": 8, ""1011"": 6, ""1110"": 2, ""1010"": 3, ""0111"": 2, ""0110"": 4, ""0101"": 2}","{""0000"": 1000}"
2047,"{""0000"": 39, ""1000"": 14, ""1101"": 13, ""0100"": 611, ""1100"": 180, ""0101"": 27, ""1110"": 16, ""0110"": 69, ""0011"": 2, ""1111"": 10, ""0111"": 8, ""0010"": 4, ""1010"": 3, ""0001"": 2, ""1001"": 2}","{""1100"": 209, ""0100"": 702, ""0110"": 70, ""1110"": 19}"
2048,"{""0010"": 396, ""0110"": 443, ""0101"": 4, ""1000"": 12, ""0000"": 35, ""0100"": 30, ""0011"": 22, ""1010"": 16, ""1101"": 2, ""1100"": 5, ""1111"": 11, ""0111"": 16, ""1110"": 3, ""1011"": 2, ""0001"": 2, ""1001"": 1}","{""0010"": 506, ""0110"": 494}"
2049,"{""01000"": 333, ""00000"": 351, ""00100"": 18, ""11000"": 19, ""01001"": 37, ""10000"": 28, ""00010"": 35, ""00101"": 14, ""01101"": 18, ""11101"": 6, ""01111"": 6, ""00001"": 22, ""01110"": 3, ""10100"": 6, ""10001"": 7, ""00111"": 3, ""01010"": 32, ""10110"": 1, ""10010"": 6, ""11001"": 6, ""11010"": 5, ""01100"": 11, ""11100"": 6, ""01011"": 5, ""11110"": 1, ""10111"": 2, ""10101"": 6, ""00110"": 4, ""00011"": 7, ""11111"": 2}","{""00000"": 494, ""01000"": 506}"
2050,"{""11010"": 7, ""10001"": 9, ""01000"": 40, ""00000"": 513, ""00100"": 102, ""01010"": 97, ""00110"": 33, ""01100"": 13, ""10100"": 18, ""11110"": 6, ""00001"": 14, ""10000"": 43, ""11000"": 12, ""00010"": 26, ""01110"": 17, ""10101"": 3, ""00101"": 5, ""10010"": 5, ""11100"": 3, ""01001"": 7, ""01011"": 6, ""10110"": 13, ""00111"": 2, ""10111"": 1, ""01101"": 2, ""00011"": 2, ""01111"": 1}","{""01010"": 178, ""00000"": 822}"
2051,"{""10"": 706, ""11"": 252, ""00"": 35, ""01"": 7}","{""10"": 680, ""11"": 268, ""01"": 9, ""00"": 43}"
2052,"{""00101"": 687, ""00001"": 55, ""01101"": 39, ""00100"": 34, ""00011"": 14, ""00111"": 31, ""10011"": 33, ""10001"": 23, ""00000"": 8, ""10111"": 11, ""10101"": 11, ""10010"": 7, ""11111"": 3, ""01011"": 6, ""11101"": 4, ""01001"": 4, ""11011"": 4, ""11001"": 8, ""01111"": 5, ""10000"": 5, ""00110"": 5, ""10100"": 1, ""01110"": 1, ""00010"": 1}","{""00101"": 992, ""00000"": 7, ""01111"": 1}"
2053,"{""0101"": 50, ""1000"": 21, ""0000"": 115, ""1011"": 7, ""0010"": 30, ""0100"": 613, ""1100"": 66, ""0111"": 6, ""1101"": 14, ""1010"": 10, ""0110"": 40, ""1110"": 7, ""0001"": 16, ""1111"": 2, ""1001"": 2, ""0011"": 1}","{""0100"": 865, ""1000"": 9, ""0000"": 97, ""1100"": 29}"
